filename,nanopubs,head,assertion,provenance,pubinfo
20160610_full.trig.gz,9018,36072,78150,39932,62962
20160710-xx_new.trig.gz,8768,35072,78647,40170,61359
20160710_full.trig.gz,10173,40692,88486,45263,71066
20160810-xx_new.trig.gz,6287,25148,57033,29608,43993
20160810_full.trig.gz,10123,40492,88055,45007,70713
20160910-xx_new.trig.gz,286,1144,2278,1222,1978
20160910_full.trig.gz,10124,40496,88061,45010,70720
20161010-xx_new.trig.gz,507,2028,3296,1700,3533
20161010_full.trig.gz,10127,40508,88096,45019,70757
20161110-xx_new.trig.gz,87,348,611,302,611
20161110_full.trig.gz,13958,55832,112467,65697,100500
20161210-xx_new.trig.gz,181,724,1343,921,1537
20161210_full.trig.gz,13975,55900,112577,65765,100754
20170210-xx_new.trig.gz,580,2320,5196,3506,4844
20170210_full.trig.gz,14323,57292,115450,67530,103393
20170310-xx_new.trig.gz,381,1524,4577,3499,3771
20170310_full.trig.gz,14319,57276,115259,67360,103340
20170410-xx_new.trig.gz,351,1404,4024,3197,3603
20170410_full.trig.gz,14323,57292,115316,67400,103469
20170510-xx_new.trig.gz,343,1372,3889,3087,3550
20170510_full.trig.gz,14323,57292,115316,67400,103492
20170610-xx_new.trig.gz,423,1692,4671,3600,4250
20170610_full.trig.gz,14323,57292,115340,67402,103524
20170710-xx_new.trig.gz,395,1580,4579,3630,4123
20170710_full.trig.gz,14323,57292,115345,67402,103536
20170810-xx_new.trig.gz,13199,52796,110593,63639,96678
20170810_full.trig.gz,17613,70452,143210,82487,128480
20170910-xx_new.trig.gz,2355,9420,15693,13756,20629
20170910_full.trig.gz,17487,69948,141427,81986,127723
20171010-xx_new.trig.gz,3055,12220,21292,16757,25720
20171010_full.trig.gz,17049,68196,137430,80186,124764
20171116-xx_new.trig.gz,2405,9620,15880,13936,21082
20171116_full.trig.gz,17079,68316,137612,80288,125004
20171210-xx_new.trig.gz,2483,9932,16450,14268,21671
20171210_full.trig.gz,17089,68356,137718,80335,125107
20180110-xx_new.trig.gz,2395,9580,16003,14113,21148
20180110_full.trig.gz,17097,68388,137776,80362,125188
20180210-xx_new.trig.gz,2486,9944,16713,14576,21869
20180210_full.trig.gz,17141,68564,138077,80484,125488
20180310-xx_new.trig.gz,2830,11320,19967,16950,24943
20180310_full.trig.gz,17147,68588,138284,80495,125810
20180410-xx_new.trig.gz,17164,68656,138406,80556,140351
20180410_full.trig.gz,17164,68656,138406,80556,140351
20180510-xx_new.trig.gz,648,2592,6609,4870,5911
20180510_full.trig.gz,17178,68712,138521,80610,140140
20180610-xx_new.trig.gz,597,2388,5702,4409,5597
20180610_full.trig.gz,17227,68908,139007,80964,140466
20180710-xx_new.trig.gz,172,688,1171,783,1401
20180710_full.trig.gz,17257,69028,139187,81057,140653
20180810-xx_new.trig.gz,194,776,1675,1364,1706
20180810_full.trig.gz,17296,69184,139592,81241,140939
20180910-xx_new.trig.gz,743,2972,7116,5724,6892
20180910_full.trig.gz,17275,69100,139479,81184,140721
20181010-xx_new.trig.gz,78,312,1409,1028,936
20181010_full.trig.gz,17279,69116,139518,81206,140742
20181210-xx_new.trig.gz,14609,58436,121445,69712,107158
20181210_full.trig.gz,17750,71000,141837,83238,132701
20190110-xx_new.trig.gz,254,1016,2221,1501,2147
20190110_full.trig.gz,17875,71500,142653,83660,133577
20190210-xx_new.trig.gz,726,2904,6371,4055,5983
20190210_full.trig.gz,17943,71772,143202,83844,134111
20190310-xx_new.trig.gz,143,572,1430,947,1224
20190310_full.trig.gz,18036,72144,143900,84216,134776
20190410-xx_new.trig.gz,155,620,1710,1043,1392
20190410_full.trig.gz,18047,72188,144147,84355,134935
20190510-xx_new.trig.gz,172,688,1233,716,1286
20190510_full.trig.gz,18108,72432,144485,84598,135379
20190610-xx_new.trig.gz,173,692,1563,911,1405
20190610_full.trig.gz,18112,72448,144512,84615,135408
20190710-xx_new.trig.gz,750,3000,7843,4672,6480
20190710_full.trig.gz,18252,73008,145471,85145,136422
20190810-xx_new.trig.gz,1102,4408,9956,7525,9797
20190810_full.trig.gz,18257,73028,145614,85031,136384
20190910-xx_new.trig.gz,2461,9844,21118,15237,21475
20190910_full.trig.gz,18314,73256,146004,85245,136817
20191010-xx_new.trig.gz,2051,8204,17453,13005,18182
20191010_full.trig.gz,18316,73264,145998,85237,136695
20191110-xx_new.trig.gz,321,1284,3174,2240,2735
20191110_full.trig.gz,18454,73816,147230,85973,137695
20191210-xx_new.trig.gz,907,3628,9515,6101,7903
20191210_full.trig.gz,18484,73936,147819,86137,137981
20200210-xx_new.trig.gz,584,2336,4488,2617,4578
20200210_full.trig.gz,17919,71676,143333,82960,133372
