filename,nanopubs,head,assertion,provenance,pubinfo
20160610_index.trig.gz,11,44,9028,11,63
20160610-xx_index.trig.gz,1,4,2,1,5
20160710_index.trig.gz,13,52,10185,13,78
20160710-xx_index.trig.gz,13,52,10185,13,78
20160810_index.trig.gz,13,52,10135,13,78
20160810-xx_index.trig.gz,13,52,10135,13,78
20160910_index.trig.gz,13,52,10136,13,78
20160910-xx_index.trig.gz,13,52,10136,13,78
20161010_index.trig.gz,13,52,10139,13,78
20161010-xx_index.trig.gz,13,52,10139,13,78
20161110_index.trig.gz,17,68,13974,17,101
20161110-xx_index.trig.gz,13,52,10141,13,78
20161210_index.trig.gz,17,68,13991,17,102
20161210-xx_index.trig.gz,11,44,7986,11,66
20170210_index.trig.gz,17,68,14339,17,102
20170210-xx_index.trig.gz,14,56,11337,14,84
20170310_index.trig.gz,17,68,14335,17,102
20170310-xx_index.trig.gz,13,52,10332,13,78
20170410_index.trig.gz,17,68,14339,17,102
20170410-xx_index.trig.gz,17,68,14339,17,102
20170510_index.trig.gz,17,68,14339,17,102
20170510-xx_index.trig.gz,14,56,11337,14,84
20170610_index.trig.gz,17,68,14339,17,102
20170610-xx_index.trig.gz,17,68,14339,17,102
20170710_index.trig.gz,17,68,14339,17,102
20170710-xx_index.trig.gz,16,64,13339,16,96
20170810_index.trig.gz,21,84,17633,21,126
20170810-xx_index.trig.gz,21,84,17633,21,126
20170910_index.trig.gz,21,84,17507,21,126
20170910-xx_index.trig.gz,21,84,17507,21,126
20171010_index.trig.gz,20,80,17068,20,120
20171010-xx_index.trig.gz,20,80,17068,20,120
20171116_index.trig.gz,20,80,17098,20,120
20171116-xx_index.trig.gz,20,80,17098,20,120
20171210_index.trig.gz,20,80,17108,20,120
20171210-xx_index.trig.gz,20,80,17108,20,120
