filename,nanopubs,head,assertion,provenance,pubinfo
20160610_full.trig.gz,41,164,466,161,123
20160710-20160610_new.trig.gz,5,20,60,15,15
20160710_full.trig.gz,37,148,362,143,111
20160810-20160710_new.trig.gz,4,16,49,21,12
20160810_full.trig.gz,37,148,362,143,111
20160910-20160810_new.trig.gz,6,24,49,18,18
20160910_full.trig.gz,37,148,362,143,111
20161010-20160910_new.trig.gz,8,32,69,24,24
20161010_full.trig.gz,37,148,362,143,111
20161110-20161010_new.trig.gz,4,16,30,12,12
20161110_full.trig.gz,36,144,356,140,108
20161210-20161110_new.trig.gz,4,16,26,12,12
20161210_full.trig.gz,37,148,362,143,111
20170210-20161210_new.trig.gz,7,28,44,39,21
20170210_full.trig.gz,42,168,394,176,126
20170310-20170210_new.trig.gz,6,24,42,36,19
20170310_full.trig.gz,42,168,393,176,127
20170410-20170310_new.trig.gz,3,12,26,9,10
20170410_full.trig.gz,42,168,393,176,127
20170510-20170410_new.trig.gz,1,4,10,3,4
20170510_full.trig.gz,42,168,393,176,127
20170610-20170510_new.trig.gz,1,4,10,3,4
20170610_full.trig.gz,42,168,393,176,127
20170710-20170610_new.trig.gz,1,4,10,3,4
20170710_full.trig.gz,42,168,393,176,127
20170810-20170710_new.trig.gz,6,24,58,29,19
20170810_full.trig.gz,43,172,399,181,130
20170910-20170810_new.trig.gz,3,12,26,11,10
20170910_full.trig.gz,43,172,399,181,130
20171010-20170910_new.trig.gz,4,16,32,14,13
20171010_full.trig.gz,43,172,399,181,130
20171116-20171010_new.trig.gz,4,16,48,21,13
20171116_full.trig.gz,44,176,411,184,133
20171210-20171116_new.trig.gz,7,28,48,39,22
20171210_full.trig.gz,44,176,411,184,133
