filename,nanopubs,head,assertion,provenance,pubinfo
20160610_index.trig.gz,1,4,41,1,5
20160710_index.trig.gz,1,4,37,1,6
20160710-20160610_index.trig.gz,1,4,37,1,6
20160810_index.trig.gz,1,4,37,1,6
20160810-20160710_index.trig.gz,1,4,37,1,6
20160910_index.trig.gz,1,4,37,1,6
20160910-20160810_index.trig.gz,1,4,37,1,6
20161010_index.trig.gz,1,4,37,1,6
20161010-20160910_index.trig.gz,1,4,37,1,6
20161110_index.trig.gz,1,4,36,1,6
20161110-20161010_index.trig.gz,1,4,36,1,6
20161210_index.trig.gz,1,4,37,1,6
20161210-20161110_index.trig.gz,1,4,37,1,6
20170210_index.trig.gz,1,4,42,1,6
20170210-20161210_index.trig.gz,1,4,42,1,6
20170310_index.trig.gz,1,4,42,1,6
20170310-20170210_index.trig.gz,1,4,42,1,6
20170410_index.trig.gz,1,4,42,1,6
20170410-20170310_index.trig.gz,1,4,42,1,6
20170510_index.trig.gz,1,4,42,1,6
20170510-20170410_index.trig.gz,1,4,42,1,6
20170610_index.trig.gz,1,4,42,1,6
20170610-20170510_index.trig.gz,1,4,42,1,6
20170710_index.trig.gz,1,4,42,1,6
20170710-20170610_index.trig.gz,1,4,42,1,6
20170810_index.trig.gz,1,4,43,1,6
20170810-20170710_index.trig.gz,1,4,43,1,6
20170910_index.trig.gz,1,4,43,1,6
20170910-20170810_index.trig.gz,1,4,43,1,6
20171010_index.trig.gz,1,4,43,1,6
20171010-20170910_index.trig.gz,1,4,43,1,6
20171116_index.trig.gz,1,4,44,1,6
20171116-20171010_index.trig.gz,1,4,44,1,6
20171210_index.trig.gz,1,4,44,1,6
20171210-20171116_index.trig.gz,1,4,44,1,6
20180110_index.trig.gz,1,4,44,1,6
20180110-20171210_index.trig.gz,1,4,44,1,6
20180210_index.trig.gz,1,4,45,1,6
20180210-20180110_index.trig.gz,1,4,45,1,6
20180310_index.trig.gz,1,4,45,1,6
20180310-20180210_index.trig.gz,1,4,45,1,6
20180410_index.trig.gz,1,4,46,1,6
20180410-20180310_index.trig.gz,1,4,46,1,6
20180510_index.trig.gz,1,4,45,1,6
20180510-20180410_index.trig.gz,1,4,45,1,6
20180610_index.trig.gz,1,4,46,1,6
20180610-20180510_index.trig.gz,1,4,46,1,6
20180710_index.trig.gz,1,4,48,1,6
20180710-20180610_index.trig.gz,1,4,48,1,6
20180810_index.trig.gz,1,4,48,1,6
20180810-20180710_index.trig.gz,1,4,48,1,6
20180910_index.trig.gz,1,4,48,1,6
20180910-20180810_index.trig.gz,1,4,48,1,6
20181010_index.trig.gz,2,8,51,2,12
20181010-20180910_index.trig.gz,1,4,3,1,6
20181210_index.trig.gz,1,4,49,1,6
20181210-20181010_index.trig.gz,1,4,49,1,6
20190110_index.trig.gz,1,4,52,1,6
20190110-20181210_index.trig.gz,1,4,52,1,6
