filename,nanopubs,head,assertion,provenance,pubinfo
20160610_full.trig.gz,8977,35908,77684,39771,62839
20160710-20160610_new.trig.gz,8763,35052,78587,40155,61344
20160710_full.trig.gz,10136,40544,88124,45120,70955
20160810-20160710_new.trig.gz,6283,25132,56984,29587,43981
20160810_full.trig.gz,10086,40344,87693,44864,70602
20160910-20160810_new.trig.gz,280,1120,2229,1204,1960
20160910_full.trig.gz,10087,40348,87699,44867,70609
20161010-20160910_new.trig.gz,499,1996,3227,1676,3509
20161010_full.trig.gz,10090,40360,87734,44876,70646
20161110-20161010_new.trig.gz,83,332,581,290,599
20161110_full.trig.gz,10092,40368,87748,44882,70662
20161210-20161110_new.trig.gz,31,124,273,137,235
20161210_full.trig.gz,10100,40400,87796,44911,70718
20170210-20161210_new.trig.gz,305,1220,2171,1044,2157
20170210_full.trig.gz,10375,41500,89701,45830,72647
20170310-20170210_new.trig.gz,87,348,652,328,631
20170310_full.trig.gz,10371,41484,89676,45818,72619
20170410-20170310_new.trig.gz,34,136,303,138,260
20170410_full.trig.gz,10371,41484,89676,45818,72619
20170510-20170410_new.trig.gz,25,100,240,110,197
20170510_full.trig.gz,10371,41484,89676,45818,72619
20170610-20170510_new.trig.gz,71,284,570,262,517
20170610_full.trig.gz,10371,41484,89676,45818,72617
20170710-20170610_new.trig.gz,32,128,280,134,244
20170710_full.trig.gz,10371,41484,89675,45818,72617
20170810-20170710_new.trig.gz,10519,42076,93181,48123,73638
20170810_full.trig.gz,13208,52832,114909,58492,92461
20170910-20170810_new.trig.gz,101,404,623,338,712
20170910_full.trig.gz,13080,52320,113095,57958,91565
20171010-20170910_new.trig.gz,679,2716,5402,2662,4756
20171010_full.trig.gz,12620,50480,108928,56022,88343
20171116-20171010_new.trig.gz,55,220,340,170,388
20171116_full.trig.gz,12632,50528,109000,56059,88427
20171210-20171116_new.trig.gz,125,500,804,421,878
20171210_full.trig.gz,12638,50552,109036,56086,88469
20180110-20171210_new.trig.gz,31,124,220,119,231
20180110_full.trig.gz,12645,50580,109088,56109,88529
20180210-20180110_new.trig.gz,70,280,460,240,504
20180210_full.trig.gz,12683,50732,109320,56228,88795
20180310-20180210_new.trig.gz,170,680,1251,628,1214
20180310_full.trig.gz,12685,50740,109321,56234,88819
20180410-20180310_new.trig.gz,12698,50792,109406,56274,101494
20180410_full.trig.gz,12698,50792,109406,56274,101494
20180510-20180410_new.trig.gz,270,1080,2026,1069,2014
20180510_full.trig.gz,12710,50840,109497,56310,101463
20180610-20180510_new.trig.gz,131,524,816,406,919
20180610_full.trig.gz,12747,50988,109732,56424,101645
20180710-20180610_new.trig.gz,59,236,381,212,417
20180710_full.trig.gz,12769,51076,109870,56491,101782
20180810-20180710_new.trig.gz,29,116,176,93,204
20180810_full.trig.gz,12772,51088,109888,56501,101800
20180910-20180810_new.trig.gz,199,796,1301,694,1393
20180910_full.trig.gz,12751,51004,109761,56436,101470
20181010-20180910_new.trig.gz,18,72,113,56,126
20181010_full.trig.gz,12753,51012,109773,56442,101481
20181210-20181010_new.trig.gz,11552,46208,101455,52280,80878
20181210_full.trig.gz,12851,51404,110231,56912,90945
20190110-20181210_new.trig.gz,117,468,761,356,819
20190110_full.trig.gz,12955,51820,110911,57227,91671
20190210-20190110_new.trig.gz,399,1596,2981,1527,2795
20190210_full.trig.gz,12960,51840,110951,57200,91675
20190310-20190210_new.trig.gz,66,264,431,235,462
20190310_full.trig.gz,13020,52080,111343,57417,92093
20190410-20190310_new.trig.gz,70,280,468,239,495
20190410_full.trig.gz,13021,52084,111351,57420,92104
20190510-20190410_new.trig.gz,66,264,439,226,462
20190510_full.trig.gz,13025,52100,111379,57433,92130
20190610-20190510_new.trig.gz,96,384,620,329,672
20190610_full.trig.gz,13028,52112,111397,57443,92146
20190710-20190610_new.trig.gz,359,1436,3480,1299,2534
20190710_full.trig.gz,13122,52488,111961,57749,92813
20190810-20190710_new.trig.gz,396,1584,2661,1309,2778
20190810_full.trig.gz,13157,52628,112179,57857,93021
