file,reusableCount,inputCount,reuseCount,topicMatchCount,intopicDuplCount,outTopicDuplCount,topicMatchErrors
20160610.trig.gz,0,8977,0,0,0,0,0
20160710.trig.gz,8977,10136,1373,3,0,0,0
20160810.trig.gz,10136,10086,3803,0,0,0,0
20160910.trig.gz,10086,10087,9807,0,0,0,0
20161010.trig.gz,10087,10090,9591,16,0,0,0
20161110.trig.gz,10090,10092,10009,18,0,0,0
20161210.trig.gz,10092,10100,10069,18,0,0,0
20170210.trig.gz,10100,10375,10070,22,0,0,0
20170310.trig.gz,10375,10371,10284,22,0,0,0
20170410.trig.gz,10371,10371,10337,22,0,0,0
20170510.trig.gz,10371,10371,10346,22,0,0,0
20170610.trig.gz,10371,10371,10300,20,0,0,0
