filename,nanopubs,head,assertion,provenance,pubinfo
20160610_index.trig.gz,9,36,8985,9,53
20160710_index.trig.gz,11,44,10146,11,66
20160710-20160610_index.trig.gz,11,44,10146,11,66
20160810_index.trig.gz,11,44,10096,11,66
20160810-20160710_index.trig.gz,11,44,10096,11,66
20160910_index.trig.gz,11,44,10097,11,66
20160910-20160810_index.trig.gz,11,44,10097,11,66
20161010_index.trig.gz,11,44,10100,11,66
20161010-20160910_index.trig.gz,11,44,10100,11,66
20161110_index.trig.gz,11,44,10102,11,66
20161110-20161010_index.trig.gz,11,44,10102,11,66
20161210_index.trig.gz,11,44,10110,11,66
20161210-20161110_index.trig.gz,5,20,4105,5,30
20170210_index.trig.gz,11,44,10385,11,66
20170210-20161210_index.trig.gz,8,32,7383,8,48
20170310_index.trig.gz,11,44,10381,11,66
20170310-20170210_index.trig.gz,7,28,6378,7,42
20170410_index.trig.gz,11,44,10381,11,66
20170410-20170310_index.trig.gz,11,44,10381,11,66
20170510_index.trig.gz,11,44,10381,11,66
20170510-20170410_index.trig.gz,8,32,7379,8,48
20170610_index.trig.gz,11,44,10381,11,66
20170610-20170510_index.trig.gz,11,44,10381,11,66
20170710_index.trig.gz,11,44,10381,11,66
20170710-20170610_index.trig.gz,10,40,9381,10,60
20170810_index.trig.gz,14,56,13221,14,84
20170810-20170710_index.trig.gz,14,56,13221,14,84
20170910_index.trig.gz,14,56,13093,14,84
20170910-20170810_index.trig.gz,14,56,13093,14,84
20171010_index.trig.gz,13,52,12632,13,78
20171010-20170910_index.trig.gz,13,52,12632,13,78
