filename,nanopubs,head,assertion,provenance,pubinfo
20160610.trig.gz,8977,35908,77684,39771,62839
20160710.trig.gz,10136,40544,88124,45120,70952
20160810.trig.gz,10086,40344,87693,44864,70602
20160910.trig.gz,10087,40348,87699,44867,70609
20161010.trig.gz,10090,40360,87734,44876,70630
20161110.trig.gz,10092,40368,87748,44882,70644
20161210.trig.gz,10100,40400,87796,44911,70700
20170210.trig.gz,10375,41500,89701,45830,72625
20170310.trig.gz,10371,41484,89676,45818,72597
20170410.trig.gz,10371,41484,89676,45818,72597
20170510.trig.gz,10371,41484,89676,45818,72597
