filename,nanopubs,head,assertion,provenance,pubinfo
20161110_full.trig.gz,3830,15320,24363,20675,29730
20161210-20161110_new.trig.gz,146,584,1044,772,1290
20161210_full.trig.gz,3838,15352,24419,20711,29925
20170210-20161210_new.trig.gz,268,1072,2981,2423,2666
20170210_full.trig.gz,3906,15624,25355,21524,30620
20170310-20170210_new.trig.gz,288,1152,3883,3135,3121
20170310_full.trig.gz,3906,15624,25190,21366,30594
20170410-20170310_new.trig.gz,314,1256,3695,3050,3333
20170410_full.trig.gz,3910,15640,25247,21406,30723
20170510-20170410_new.trig.gz,317,1268,3639,2974,3349
20170510_full.trig.gz,3910,15640,25247,21406,30746
20170610-20170510_new.trig.gz,351,1404,4091,3335,3729
20170610_full.trig.gz,3910,15640,25271,21408,30780
20170710-20170610_new.trig.gz,362,1448,4289,3493,3875
20170710_full.trig.gz,3910,15640,25277,21408,30792
20170810-20170710_new.trig.gz,2674,10696,17354,15487,23021
20170810_full.trig.gz,4362,17448,27902,23814,35889
20170910-20170810_new.trig.gz,2251,9004,15044,13407,19907
20170910_full.trig.gz,4364,17456,27933,23847,36028
20171010-20170910_new.trig.gz,2372,9488,15858,14081,20951
20171010_full.trig.gz,4386,17544,28103,23983,36291
20171116-20171010_new.trig.gz,2346,9384,15492,13745,20681
20171116_full.trig.gz,4403,17612,28201,24045,36444
20171210-20171116_new.trig.gz,2351,9404,15598,13808,20771
20171210_full.trig.gz,4407,17628,28271,24065,36505
20180110-20171210_new.trig.gz,2361,9444,15761,13985,20907
20180110_full.trig.gz,4408,17632,28277,24069,36526
20180210-20180110_new.trig.gz,2414,9656,16211,14330,21358
20180210_full.trig.gz,4413,17652,28314,24069,36557
20180310-20180210_new.trig.gz,2648,10592,18569,16258,23692
20180310_full.trig.gz,4417,17668,28518,24078,36855
20180410-20180310_new.trig.gz,4420,17680,28549,24096,38676
20180410_full.trig.gz,4420,17680,28549,24096,38676
20180510-20180410_new.trig.gz,375,1500,4531,3787,3888
20180510_full.trig.gz,4423,17692,28579,24117,38502
20180610-20180510_new.trig.gz,461,1844,4823,3974,4663
20180610_full.trig.gz,4434,17736,28822,24354,38646
20180710-20180610_new.trig.gz,110,440,770,562,975
20180710_full.trig.gz,4440,17760,28852,24374,38690
20180810-20180710_new.trig.gz,163,652,1487,1265,1496
20180810_full.trig.gz,4476,17904,29239,24548,38958
20180910-20180810_new.trig.gz,534,2136,5696,4972,5469
20180910_full.trig.gz,4476,17904,29253,24556,39075
20181010-20180910_new.trig.gz,58,232,1280,966,804
20181010_full.trig.gz,4476,17904,29264,24566,39079
20181210-20181010_new.trig.gz,3044,12176,19890,17359,26241
20181210_full.trig.gz,4850,19400,31129,26131,41586
20190110-20181210_new.trig.gz,133,532,1430,1133,1316
20190110_full.trig.gz,4868,19472,31241,26229,41727
20190210-20190110_new.trig.gz,323,1292,3340,2516,3176
20190210_full.trig.gz,4931,19724,31750,26440,42259
20190310-20190210_new.trig.gz,75,300,986,705,756
20190310_full.trig.gz,4963,19852,32049,26591,42504
20190410-20190310_new.trig.gz,84,336,1236,801,894
20190410_full.trig.gz,4973,19892,32288,26727,42652
20190510-20190410_new.trig.gz,103,412,773,480,815
20190510_full.trig.gz,5030,20120,32598,26957,43070
20190610-20190510_new.trig.gz,72,288,910,566,718
20190610_full.trig.gz,5031,20124,32607,26964,43083
20190710-20190610_new.trig.gz,379,1516,4233,3328,3910
20190710_full.trig.gz,5068,20272,32916,27161,43403
20190810-20190710_new.trig.gz,693,2772,7147,6162,6980
20190810_full.trig.gz,5036,20144,32823,26932,43154
20190910-20190810_new.trig.gz,1595,6380,15334,12260,15533
20190910_full.trig.gz,5065,20260,33046,27061,43492
20191010-20190910_new.trig.gz,1482,5928,13697,11059,14287
20191010_full.trig.gz,5067,20268,33040,27053,43532
20191110-20191010_new.trig.gz,249,996,2729,2020,2241
20191110_full.trig.gz,5152,20608,33943,27629,44163
20191210-20191110_new.trig.gz,390,1560,6035,4412,4303
20191210_full.trig.gz,5155,20620,34343,27694,44264
20200210-20191210_new.trig.gz,144,576,1522,1204,1484
20200210_full.trig.gz,4461,17844,29086,24129,38750
20200310-20200210_new.trig.gz,48,192,659,533,552
20200310_full.trig.gz,4461,17844,29086,24129,38752
20200410-20200310_new.trig.gz,151,604,1497,1175,1495
20200410_full.trig.gz,4379,17516,28564,23801,38048
20200510-20200410_new.trig.gz,1099,4396,8430,5848,8788
20200510_full.trig.gz,5219,20876,35053,28155,44486
20200610-20200510_new.trig.gz,269,1076,3216,2251,2639
20200610_full.trig.gz,5242,20968,35329,28337,44770
20200710-20200610_new.trig.gz,90,360,1441,934,1006
20200710_full.trig.gz,5250,21000,35574,28491,44918
20200810-20200710_new.trig.gz,60,240,985,641,701
20200810_full.trig.gz,5250,21000,35575,28491,44941
