file,reusableCount,inputCount,reuseCount,topicMatchCount,intopicDuplCount,outTopicDuplCount,topicMatchErrors
20161110.trig.gz,0,3830,0,0,0,0,0
20161210.trig.gz,3830,3838,3692,134,0,0,0
20170210.trig.gz,3838,3906,3638,154,0,0,0
20170310.trig.gz,3906,3906,3618,207,0,0,0
20170410.trig.gz,3906,3910,3596,294,0,0,0
20170510.trig.gz,3910,3910,3593,317,0,0,0
20170610.trig.gz,3910,3910,3559,350,0,0,0
20170710.trig.gz,3910,3910,3548,362,0,0,0
20170810.trig.gz,3910,4362,1688,2101,0,0,0
20170910.trig.gz,4362,4364,2113,2215,0,0,0
20171010.trig.gz,4364,4386,2014,2286,0,0,0
20171116.trig.gz,4386,4403,2057,2316,0,0,0
20171210.trig.gz,4403,4407,2056,2346,0,0,0
20180110.trig.gz,4407,4408,2047,2360,0,0,0
20180210.trig.gz,4408,4413,1999,2363,0,0,0
20180310.trig.gz,4413,4417,1769,2618,0,0,0
20180410.trig.gz,4417,4420,0,4414,0,0,0
20180510.trig.gz,4420,4423,4048,170,0,0,0
20180610.trig.gz,4423,4434,3973,361,0,0,0
20180710.trig.gz,4434,4440,4330,104,0,0,0
20180810.trig.gz,4440,4476,4313,117,0,0,0
20180910.trig.gz,4476,4476,3942,528,0,0,0
20181010.trig.gz,4476,4476,4418,53,0,0,0
20181210.trig.gz,4476,4850,1806,2393,0,0,0
20190110.trig.gz,4850,4868,4735,101,0,0,0
20190210.trig.gz,4868,4931,4608,256,0,0,0
20190310.trig.gz,4931,4963,4888,40,0,0,0
20190410.trig.gz,4963,4973,4889,71,0,0,0
20190510.trig.gz,4973,5030,4927,43,0,0,0
20190610.trig.gz,5030,5031,4959,61,0,0,0
20190710.trig.gz,5031,5068,4689,327,0,0,0
20190810.trig.gz,5068,5036,4343,653,0,0,0
20190910.trig.gz,5036,5065,3470,1526,0,0,0
20191010.trig.gz,5065,5067,3585,1443,0,0,0
20191110.trig.gz,5067,5152,4903,103,0,0,0
20191210.trig.gz,5152,5155,4765,371,0,0,0
20200210.trig.gz,5155,4461,4317,142,0,0,0
20200310.trig.gz,4461,4461,4413,48,0,0,0
20200410.trig.gz,4461,4379,4228,132,0,0,0
20200510.trig.gz,4379,5219,4120,240,0,0,0
20200610.trig.gz,5219,5242,4973,207,0,0,0
20200710.trig.gz,5242,5250,5160,68,0,0,0
20200810.trig.gz,5250,5250,5190,58,0,0,0
20200910.trig.gz,5250,5256,0,5233,0,0,0
20201010.trig.gz,5256,5462,2916,2240,0,0,0
20201110.trig.gz,5462,5534,3031,2403,0,0,0
20201210.trig.gz,5534,5615,5323,192,0,0,0
